iter	Passed	Remaining
790	993	262
791	994	261
792	994	259
793	995	258
794	996	256
795	999	256
796	1000	254
797	1001	253
798	1002	252
799	1003	250
800	1003	249
801	1004	247
802	1005	246
803	1005	245
804	1006	243
805	1007	242
806	1008	241
807	1008	239
808	1009	238
809	1010	236
810	1011	235
811	1015	235
812	1015	233
813	1016	232
814	1017	230
815	1018	229
816	1019	228
817	1020	227
818	1021	225
819	1022	224
820	1022	223
821	1023	221
822	1024	220
823	1025	218
824	1025	217
825	1026	216
826	1028	215
827	1029	213
828	1030	212
829	1030	211
830	1031	209
831	1032	208
832	1033	207
833	1033	205
834	1034	204
835	1035	203
836	1035	201
837	1036	200
838	1036	198
839	1037	197
840	1038	196
841	1038	194
842	1039	193
843	1040	192
844	1041	190
845	1041	189
846	1043	188
847	1044	187
848	1045	185
849	1045	184
850	1046	183
851	1047	181
852	1047	180
853	1048	179
854	1049	177
855	1049	176
856	1050	175
857	1050	173
858	1051	172
859	1052	171
860	1052	169
861	1053	168
862	1054	167
863	1055	166
864	1056	164
865	1058	163
866	1059	162
867	1060	161
868	1060	159
869	1061	158
870	1061	157
871	1062	155
872	1063	154
873	1063	153
874	1064	152
875	1064	150
876	1065	149
877	1066	148
878	1066	146
879	1067	145
880	1068	144
881	1069	143
882	1070	141
883	1071	140
884	1072	139
885	1073	138
886	1074	136
887	1075	135
888	1076	134
889	1076	133
890	1077	131
891	1078	130
892	1079	129
893	1079	128
894	1080	126
895	1081	125
896	1081	124
897	1082	122
898	1083	121
899	1084	120
900	1084	119
901	1085	117
902	1085	116
903	1086	115
904	1087	114
905	1088	112
906	1088	111
907	1089	110
908	1090	109
909	1090	107
910	1091	106
911	1091	105
912	1092	104
913	1093	102
914	1093	101
915	1094	100
916	1095	99
917	1095	97
918	1096	96
919	1096	95
920	1097	94
921	1097	92
922	1098	91
923	1099	90
924	1099	89
925	1100	87
926	1101	86
927	1102	85
928	1103	84
929	1103	83
930	1104	81
931	1105	80
932	1105	79
933	1106	78
934	1106	76
935	1107	75
936	1108	74
937	1108	73
938	1109	72
939	1109	70
940	1110	69
941	1111	68
942	1111	67
943	1112	65
944	1112	64
945	1113	63
946	1114	62
947	1114	61
948	1115	59
949	1116	58
950	1117	57
951	1118	56
952	1118	55
953	1119	53
954	1119	52
955	1120	51
956	1121	50
957	1121	49
958	1122	47
959	1122	46
960	1123	45
961	1124	44
962	1124	43
963	1125	42
964	1125	40
965	1126	39
966	1127	38
967	1127	37
968	1128	36
969	1128	34
970	1129	33
971	1129	32
972	1131	31
973	1132	30
974	1132	29
975	1133	27
976	1134	26
977	1134	25
978	1135	24
979	1135	23
980	1136	22
981	1137	20
982	1137	19
983	1138	18
984	1138	17
985	1139	16
986	1140	15
987	1140	13
988	1141	12
989	1141	11
990	1142	10
991	1142	9
992	1143	8
993	1144	6
994	1144	5
995	1145	4
996	1146	3
997	1147	2
998	1147	1
999	1148	0
